row,note_id,onset_beat,measure,duration_beat,pitch_spelling,pitch_midi,cadence,cadence_confidence,localkey,localkey_confidence,tonkey,tonkey_confidence,quality,quality_confidence,inversion,inversion_confidence,root,root_confidence,bass,bass_confidence,degree1,degree1_confidence,degree2,degree2_confidence,hrythm,hrythm_confidence,pcset,pcset_confidence,romanNumeral,romanNumeral_confidence,section,section_confidence,phrase,phrase_confidence,organ_point,organ_point_confidence,tpc_in_label,tpc_in_label_confidence,tpc_is_root,tpc_is_root_confidence,tpc_is_bass,tpc_is_bass_confidence,downbeat,downbeat_confidence,note_degree,note_degree_confidence,staff,staff_confidence
24,p0n26,11.0,5,0.5,B4,83,,0.917174,G,0.9374843,G,0.9358536,major triad,0.6629202,0,0.8106926,G,0.8490167,G,0.8799523,1,0.7582438,None,0.8880892,False,0.7140097,"{2,7,11}",0.7293136,I,0.6716061,False,0.9470684,False,0.94136894,True,0.81509113,True,0.8980727,False,0.93589246,False,0.871159,2,0.44206285,3,0.92534745,3,0.37026176
25,p0n28,11.5,5,0.5,G4,79,,0.92312527,G,0.93744904,G,0.9299358,minor triad,0.44708568,0,0.6646075,G,0.56408495,G,0.7652363,1,0.43382236,None,0.878278,False,0.9082652,"{4,7,11}",0.45089066,vi,0.37041938,False,0.94954216,False,0.94852984,True,0.84652513,True,0.91142833,True,0.7150061,True,0.7140515,0,0.8924317,1,0.8618866,0,0.37189567
26,p0n30,12.0,6,2.0,G2,55,,0.91561866,G,0.9315608,G,0.8813645,minor triad,0.8351477,1,0.7293663,E,0.83390844,G,0.8498769,6,0.79882556,None,0.8299135,True,0.8876522,"{4,7,11}",0.92353326,vi,0.815361,False,0.94875854,False,0.9340805,True,0.76582676,True,0.9390916,False,0.9416382,True,0.66151804,1,0.5806365,1,0.8386738,2,0.4287672
27,p0n29,12.0,6,1.0,E4,76,,0.9195116,G,0.93172336,G,0.87973905,minor triad,0.8360132,1,0.7709605,E,0.82918596,G,0.8512844,6,0.8016729,None,0.8206602,True,0.8865928,"{4,7,11}",0.92411655,vi,0.8071172,False,0.94917667,False,0.9356034,True,0.8661619,True,0.9094727,True,0.9149665,False,0.8449233,1,0.5614199,6,0.91117436,2,0.35097426
28,p0n31,13.0,6,0.5,G4,79,,0.92471707,G,0.92757636,G,0.799733,minor triad,0.8417727,1,0.72301215,E,0.7895204,G,0.8558241,6,0.71265846,None,0.7812563,False,0.760347,"{4,7,11}",0.9089623,vi,0.74131244,False,0.95021284,False,0.94892126,True,0.749451,True,0.93524414,False,0.9330537,True,0.63869697,2,0.40249005,1,0.8136544,2,0.3173608
29,p0n32,13.5,6,0.5,E4,76,,0.92706215,G,0.92433476,G,0.64040446,minor triad,0.81462884,1,0.71803707,E,0.69385,G,0.84766316,6,0.5326535,None,0.7121714,False,0.91390234,"{4,7,11}",0.8835104,vi,0.5900491,False,0.9513243,False,0.94922984,True,0.84435534,True,0.83927697,True,0.77271557,False,0.8420804,0,0.89365137,6,0.78376156,0,0.30815145
30,p0n34,14.0,6,1.0,E2,52,,0.9193962,G,0.9253696,D,0.77261764,diminished triad,0.6652187,1,0.60936475,C#,0.5694595,E,0.41052574,7,0.60225683,5,0.87512994,True,0.8653868,"{1,4,7}",0.5873185,viio,0.5669063,False,0.94711137,False,0.93489456,False,0.50743234,True,0.9170207,False,0.926804,False,0.54630816,1,0.61979467,6,0.5737305,3,0.49633315
31,p0n33,14.0,6,1.0,C#4,73,,0.924125,G,0.92524225,D,0.7811525,diminished triad,0.65933347,1,0.6611019,C#,0.57531184,E,0.40202,7,0.6062452,5,0.87610817,True,0.8724537,"{1,4,7}",0.5998742,viio,0.5772317,False,0.9479959,False,0.935026,True,0.72441584,True,0.877877,True,0.694906,False,0.70283264,1,0.63246566,#4,0.78476995,3,0.44750667
32,p0n36,15.0,7,1.0,C#2,49,,0.92949396,G,0.92521346,D,0.82912457,dominant seventh chord,0.5024739,1,0.47104797,A,0.8198272,C#,0.6723789,5,0.7536779,5,0.8889332,False,0.5425286,"{1,4,7,9}",0.5495046,V7,0.4067782,False,0.94883513,False,0.94689137,True,0.62671953,True,0.8968647,False,0.79504347,True,0.6352823,2,0.38801292,#4,0.8093276,3,0.58154744
33,p0n35,15.0,7,0.5,E4,76,,0.9243906,G,0.925553,D,0.8272947,dominant seventh chord,0.5017851,1,0.46878907,A,0.8171776,C#,0.67470276,5,0.7439886,5,0.8891268,False,0.5582013,"{1,4,7,9}",0.543288,V7,0.40821978,False,0.94822866,False,0.94719285,False,0.57319194,True,0.919047,False,0.9350239,False,0.9132887,2,0.3839097,6,0.44959557,3,0.5370959
